conf,supp,elapsed_time,rule_count
1.0,1.0,0.0007760524749755859,0
0.3,1.0,0.26697587966918945,110
0.03,1.0,3.1008825302124023,4899
0.003,1.0,10.61003041267395,36504
0.0003,1.0,10.885108947753906,36504
1.0,0.2,0.0006368160247802734,0
0.3,0.2,0.2488088607788086,884
0.03,0.2,3.371920585632324,10667
0.003,0.2,12.44072961807251,45969
0.0003,0.2,12.325684785842896,45969
1.0,0.02,0.0006282329559326172,0
0.3,0.02,0.22852134704589844,884
0.03,0.02,3.579301595687866,11282
0.003,0.02,14.142902374267578,47024
0.0003,0.02,14.532850503921509,47024
1.0,0.002,0.0006392002105712891,0
0.3,0.002,0.23220372200012207,884
0.03,0.002,3.367985725402832,11282
0.003,0.002,14.835542917251587,48129
0.0003,0.002,15.11423134803772,48129
