conf,supp,elapsed_time,rule_count
1.0,1.0,0.0012450218200683594,0
0.3,1.0,0.2570054531097412,134
0.03,1.0,2.885606050491333,4529
0.003,1.0,11.024921178817749,33637
0.0003,1.0,11.820789098739624,33637
1.0,0.2,0.0005965232849121094,0
0.3,0.2,0.3650844097137451,1007
0.03,0.2,3.5906691551208496,10323
0.003,0.2,11.94298505783081,42936
0.0003,0.2,13.300933837890625,42936
1.0,0.02,0.0006008148193359375,0
0.3,0.02,0.2719748020172119,1007
0.03,0.02,3.630916118621826,10974
0.003,0.02,13.652348518371582,44003
0.0003,0.02,13.82767629623413,44003
1.0,0.002,0.0005984306335449219,0
0.3,0.002,0.27546191215515137,1007
0.03,0.002,4.483100891113281,10974
0.003,0.002,13.723790168762207,45034
0.0003,0.002,15.324604034423828,45034
